name,pH_min,pH_max,EC_min,EC_max,Temp_min,Temp_max,Cl_max,ORP_min,ORP_max,SALT_max,fruiting_boost,boost_pH_min,boost_pH_max,boost_EC_min,boost_EC_max,boost_Temp_min,boost_Temp_max
Rosemary_BayLaurel,6.0,6.5,1200,1800,18,24,0.2,300,450,7500,,,,,,,
LemonBalm,5.8,6.2,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Lemongrass,6.0,6.5,1400,2000,20,24,0.2,300,450,7500,,,,,,,
Stevia,6.0,6.5,1000,1600,20,24,0.2,300,450,7500,,,,,,,
Shiso,6.0,6.5,1000,1400,18,22,0.2,300,450,7500,,,,,,,
VietnameseCoriander,6.0,6.5,1000,1400,20,24,0.2,300,450,5000,,,,,,,
Culantro,6.0,6.5,1000,1400,20,24,0.2,300,450,7500,,,,,,,
Epazote,6.0,6.5,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Lovage,6.0,6.5,1200,1800,18,22,0.2,300,450,7500,,,,,,,
SummerSavory,6.0,6.5,1000,1400,18,22,0.2,300,450,7500,,,,,,,
WinterSavory,6.0,6.5,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Lavender,6.0,6.8,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Chamomile,6.0,6.5,800,1200,18,22,0.2,300,450,7500,,,,,,,
Feverfew_Hyssop_Echinacea,6.0,6.5,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Fennel,6.0,6.5,1200,1800,18,22,0.2,300,450,7500,,,,,,,
Nasturtium_Calendula_Borage_Pansy_Viola,6.0,6.5,1000,1400,18,22,0.2,300,450,7500,,,,,,,
Petunia,5.5,6.0,1000,1600,18,24,0.2,300,450,7500,,,,,,,
GerberaDaisy,5.8,6.2,1600,2200,18,24,0.2,300,450,7500,,,,,,,
Zinnia,5.8,6.2,1400,2000,20,26,0.2,300,450,7500,,,,,,,
Snapdragon,5.8,6.2,1200,1800,15,22,0.2,300,450,7500,,,,,,,
Begonia_Impatiens,5.5,6.2,800,1400,18,24,0.2,300,450,5000,,,,,,,
SweetAlyssum,5.8,6.2,800,1200,15,22,0.2,300,450,5000,,,,,,,
Lobelia,5.5,6.2,800,1200,15,22,0.2,300,450,5000,,,,,,,
Marigold,6.0,6.5,1200,1800,20,26,0.2,300,450,7500,,,,,,,
Dianthus,6.0,6.5,1400,2000,18,24,0.2,300,450,7500,,,,,,,
Cornflower,6.0,6.8,1000,1600,15,22,0.2,300,450,7500,,,,,,,
Portulaca,5.8,6.5,800,1400,20,28,0.2,300,450,7500,,,,,,,
Ginger_Turmeric,5.5,6.5,1400,2000,22,28,0.2,300,450,8000,,,,,,,
Claytonia,5.8,6.5,800,1200,10,20,0.2,300,450,7500,,,,,,,
LandCress,5.8,6.5,700,1200,10,20,0.2,300,450,7500,,,,,,,
WelshOnion,6.0,6.5,900,1300,10,22,0.2,300,450,7500,,,,,,,
Daylily,6.0,6.5,800,1400,15,24,0.2,300,450,7500,,,,,,,
FavaBeans,5.8,6.2,800,1200,10,20,0.2,300,450,500,1,6.0,6.3,1200.0,1800.0,10.0,20.0
BearsGarlic,6.0,6.5,800,1200,8,18,0.2,300,450,5000,,,,,,,
Lettuce_Spinach_Kale,5.8,6.2,1000,1600,18,22,0.1,300,450,5000,,,,,,,
Lettuce_Arugula_Chard,5.8,6.2,1000,1600,18,22,0.1,300,450,5000,,,,,,,
Lettuce_Basil_Parsley,5.8,6.2,900,1400,18,22,0.1,300,450,5000,,,,,,,
Spinach_Kale_Chard,6.0,6.5,1200,1600,18,22,0.1,300,450,7500,,,,,,,
Microgreens,5.8,6.2,500,900,18,22,0.1,300,450,4000,,,,,,,
SaladGreens,5.8,6.2,900,1400,18,22,0.1,300,450,5000,,,,,,,
Lettuce_Spinach_Arugula_Radish,5.8,6.2,900,1400,18,22,0.1,300,450,5000,,,,,,,
BokChoy_Tatsoi_Komatsuna,6.0,6.5,1000,1400,18,22,0.1,300,450,5000,,,,,,,
Mizuna_Mibuna_Senposai,6.0,6.2,1000,1400,18,22,0.1,300,450,5000,,,,,,,
Basil_Mint_Parsley,5.8,6.5,1200,1600,18,22,0.1,300,450,5000,,,,,,,
Cilantro_Dill_Chives,6.0,6.5,1000,1400,18,22,0.1,300,450,5000,,,,,,,
Rosemary_Thyme_Oregano,6.0,6.5,1200,1600,18,24,0.2,300,450,7500,,,,,,,
LemonBalm_Chamomile_Mint,5.8,6.5,1000,1400,18,22,0.1,300,450,5000,,,,,,,
Mediterranean_Herb,6.0,6.5,1200,1600,20,24,0.2,300,450,7500,,,,,,,
Tomato_Pepper_Eggplant,6.0,6.3,1600,2400,22,26,0.2,300,450,7500,,,,,,,
CherryTomato_BellPepper,6.0,6.3,1600,2200,22,26,0.2,300,450,7500,,,,,,,
Pepper_Cucumber,5.8,6.2,1400,2200,22,25,0.2,300,450,7500,,,,,,,
Eggplant_Zucchini_Pepper,6.0,6.3,1600,2200,22,26,0.2,300,450,7500,,,,,,,
Tomato_CherryTomato_Roma,5.8,6.3,1400,2400,20,26,0.2,300,450,7500,,,,,,,
BellPepper_ChiliPepper_Jalapeno,6.0,6.3,1600,2400,22,27,0.2,300,450,7500,,,,,,,
Radish_Turnip_Carrot,5.8,6.2,1000,1400,18,22,0.2,300,450,750,0,,,,,,
GreenOnion_GarlicChives_Leek,6.0,6.5,900,1300,18,22,0.1,300,450,500,0,,,,,,
Onion_Shallot_Chive,6.0,6.5,900,1300,18,22,0.1,300,450,500,0,,,,,,
Petunia_Lobelia_Alyssum,5.5,6.2,800,1400,15,22,0.2,300,450,500,0,,,,,,
BushBeans_PoleBeans_Edamame,6.0,6.3,1200,1600,18,24,0.2,300,450,750,0,,,,,,
Watercress_Purslane_Sorrel,6.0,6.5,800,1200,18,22,0.1,300,450,500,0,,,,,,
Radicchio_Mache,6.0,6.5,800,1200,15,20,0.1,300,450,400,0,,,,,,
BeetGreens_TurnipGreens_CollardGreens,6.0,6.5,1200,1600,18,22,0.1,300,450,750,0,,,,,,
Tomato_Basil,5.8,6.2,1400,2200,20,26,0.2,300,450,750,0,,,,,,
Shiso_VietnameseCoriander_Culantro,6.0,6.5,1000,1400,20,24,0.1,300,450,500,0,,,,,,
Lavender_Rosemary_Sage,6.0,6.8,1000,1600,18,24,0.2,300,450,750,0,,,,,,
