name,pH_min,pH_max,EC_min,EC_max,Temp_min,Temp_max,Cl_max,ORP_min,ORP_max,SALT_max
Broccoli - Mature,6.0,6.5,1400,2000,18,22,0.2,300,450,1000
Cauliflower - Seedling,5.5,5.8,800,1200,18,22,0.2,300,450,1000
Cauliflower - Mature,6.0,6.5,1400,2000,18,22,0.2,300,450,1000
Cabbage - Seedling,5.5,5.8,800,1200,18,22,0.2,300,450,1000
Cabbage - Mature,6.0,6.5,1400,2000,18,22,0.2,300,450,1000
Napa Cabbage - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,1000
Napa Cabbage - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,1000
Brussels Sprouts - Seedling,5.5,5.8,800,1200,18,22,0.2,300,450,1000
Brussels Sprouts - Mature,6.0,6.5,1400,2000,18,22,0.2,300,450,1000
Kohlrabi - Seedling,5.5,5.8,800,1200,18,22,0.2,300,450,1000
Kohlrabi - Mature,6.0,6.5,1400,2000,18,22,0.2,300,450,1000
Collard Greens - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,1000
Collard Greens - Mature,6.0,6.5,1200,1800,18,22,0.2,300,450,1000
Turnip Greens - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,1000
Turnip Greens - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,1000
Beet Greens - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,1000
Beet Greens - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,1000
Bok Choy - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,750
Bok Choy - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,750
Tatsoi - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Tatsoi - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,750
Komatsuna - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Komatsuna - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,750
Mibuna - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Mibuna - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,750
Senposai - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,750
Senposai - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,750
Yukina Savoy - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,750
Yukina Savoy - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,750
Mustard Greens - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,1000
Mustard Greens - Mature,6.0,6.2,1200,1600,18,22,0.2,300,450,1000
Mizuna - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,1000
Mizuna - Mature,6.0,6.2,1000,1400,18,22,0.2,300,450,1000
Watercress - Seedling,5.5,5.8,400,700,18,22,0.2,300,450,750
Watercress - Mature,6.0,6.5,700,1100,18,22,0.2,300,450,750
Amaranth - Seedling,5.5,5.8,600,900,20,24,0.2,300,450,750
Amaranth - Mature,6.0,6.5,1200,1600,20,24,0.2,300,450,750
Malabar Spinach - Seedling,5.5,5.8,600,900,22,26,0.1,300,450,500
Malabar Spinach - Mature,6.0,6.5,1200,1600,22,26,0.1,300,450,500
New Zealand Spinach - Seedling,5.5,5.8,600,900,18,22,0.1,300,450,500
New Zealand Spinach - Mature,6.0,6.5,1200,1600,18,22,0.1,300,450,500
Purslane - Seedling,5.5,5.8,400,700,18,22,0.2,300,450,750
Purslane - Mature,6.0,6.5,800,1200,18,22,0.2,300,450,750
Sorrel - Seedling,5.5,5.8,500,800,18,22,0.2,300,450,750
Sorrel - Mature,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Celtuce - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Celtuce - Mature,6.0,6.5,1200,1600,18,22,0.2,300,450,750
Sweet Potato Vine - Seedling,5.5,5.8,600,900,20,24,0.2,300,450,1000
Sweet Potato Vine - Mature,6.0,6.5,1200,1600,20,24,0.2,300,450,1000
Leek - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,750
Leek - Mature,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Green Onion - Seedling,5.5,5.8,500,800,18,22,0.2,300,450,750
Green Onion - Mature,6.0,6.5,900,1300,18,22,0.2,300,450,750
Garlic Chives - Seedling,5.5,5.8,600,900,18,22,0.2,300,450,500
Garlic Chives - Mature,6.0,6.5,1000,1400,18,22,0.2,300,450,500
Onion Greens - Seedling,5.5,5.8,500,800,18,22,0.2,300,450,750
Onion Greens - Mature,6.0,6.5,900,1300,18,22,0.2,300,450,750
Shallot Greens - Seedling,5.5,5.8,500,800,18,22,0.2,300,450,750
Shallot Greens - Mature,6.0,6.5,900,1300,18,22,0.2,300,450,750
Basil,5.8,6.2,1200,1800,20,24,0.1,300,450,500
Thai Basil,5.8,6.2,1200,1800,20,24,0.1,300,450,500
Holy Basil,5.8,6.2,1200,1800,20,24,0.1,300,450,500
Parsley,6.0,6.5,1000,1600,18,22,0.2,300,450,500
Cilantro,6.0,6.5,1000,1400,18,22,0.2,300,450,500
Dill,5.8,6.2,1000,1400,18,22,0.2,300,450,500
Mint,5.8,6.2,1200,1600,18,22,0.2,300,450,500
Peppermint,5.8,6.2,1200,1600,18,22,0.2,300,450,500
Spearmint,5.8,6.2,1200,1600,18,22,0.2,300,450,500
Chives,6.0,6.5,1000,1400,18,22,0.2,300,450,500
Oregano,6.0,6.5,1200,1800,18,22,0.2,300,450,750
Thyme,6.0,6.5,1000,1600,18,22,0.2,300,450,750
Sage,6.0,6.5,1000,1600,18,22,0.2,300,450,750
Rosemary,6.0,6.5,1200,1800,18,24,0.2,300,450,750
Tarragon,6.0,6.5,1000,1600,18,22,0.2,300,450,750
Marjoram,6.0,6.5,1000,1600,18,22,0.2,300,450,750
Bay Laurel,6.0,6.5,1200,1800,18,24,0.2,300,450,750
Lemon Balm,5.8,6.2,1000,1400,18,22,0.2,300,450,750
Lemongrass,6.0,6.5,1400,2000,20,24,0.2,300,450,750
Stevia,6.0,6.5,1000,1600,20,24,0.2,300,450,750
Shiso,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Vietnamese Coriander,6.0,6.5,1000,1400,20,24,0.2,300,450,500
Culantro,6.0,6.5,1000,1400,20,24,0.2,300,450,750
Epazote,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Lovage,6.0,6.5,1200,1800,18,22,0.2,300,450,750
Summer Savory,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Winter Savory,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Lavender,6.0,6.8,1000,1400,18,22,0.2,300,450,750
Chamomile,6.0,6.5,800,1200,18,22,0.2,300,450,750
Catnip,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Feverfew,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Hyssop,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Echinacea,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Rue,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Wormwood,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Celery - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,750
Celery - Mature,6.0,6.5,1200,1800,18,22,0.2,300,450,750
Fennel - Seedling,5.5,5.8,700,1000,18,22,0.2,300,450,750
Fennel - Mature,6.0,6.5,1200,1800,18,22,0.2,300,450,750
Nasturtium,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Calendula,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Borage,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Pansy,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Viola,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Radish,5.5,6.2,800,1200,18,22,0.2,300,450,1000
Carrot - Small Variety,5.5,6.2,1000,1400,18,24,0.2,300,450,750
Beetroot,6.0,6.5,1200,1800,18,24,0.2,300,450,1000
Turnip,6.0,6.5,1000,1600,18,22,0.2,300,450,1000
Ginger,5.5,6.5,1400,2000,22,28,0.2,300,450,800
Turmeric,5.5,6.5,1400,2000,22,28,0.2,300,450,800
Potato - Small/Aeroponic,5.5,6.0,1600,2400,18,22,0.2,300,450,1000
Lettuce/Spinach/Kale Mix,5.8,6.2,1000,1600,18,22,0.1,300,450,500
Lettuce/Arugula/Chard Mix,5.8,6.2,1000,1600,18,22,0.1,300,450,500
Lettuce/Basil/Parsley Mix,5.8,6.2,900,1400,18,22,0.1,300,450,500
Spinach/Kale/Chard Mix,6.0,6.5,1200,1600,18,22,0.1,300,450,750
Microgreens Mix,5.8,6.2,500,900,18,22,0.1,300,450,400
Salad Greens Mix,5.8,6.2,900,1400,18,22,0.1,300,450,500
Lettuce/Spinach/Arugula/Radish Mix,5.8,6.2,900,1400,18,22,0.1,300,450,500
Broccoli/Cauliflower/Cabbage Mix,6.0,6.5,1200,1800,18,22,0.2,300,450,750
Bok Choy/Tatsoi/Komatsuna Mix,6.0,6.5,1000,1400,18,22,0.1,300,450,500
Mizuna/Mibuna/Senposai Mix,6.0,6.2,1000,1400,18,22,0.1,300,450,500
Basil/Mint/Parsley Mix,5.8,6.5,1200,1600,18,22,0.1,300,450,500
Cilantro/Dill/Chives Mix,6.0,6.5,1000,1400,18,22,0.1,300,450,500
Rosemary/Thyme/Oregano Mix,6.0,6.5,1200,1600,18,24,0.2,300,450,750
Lemon Balm/Chamomile/Mint Mix,5.8,6.5,1000,1400,18,22,0.1,300,450,500
Mediterranean Herb Mix,6.0,6.5,1200,1600,20,24,0.2,300,450,750
Tomato/Pepper/Eggplant Mix,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Cherry Tomato/Bell Pepper Mix,6.0,6.3,1600,2200,22,26,0.2,300,450,750
Tomato/Cucumber Mix,5.8,6.2,1600,2400,22,25,0.2,300,450,750
Pepper/Cucumber Mix,5.8,6.2,1400,2200,22,25,0.2,300,450,750
Eggplant/Zucchini/Pepper Mix,6.0,6.3,1600,2200,22,26,0.2,300,450,750
Zucchini/Summer Squash/Pattypan Mix,6.0,6.3,1600,2200,20,25,0.2,300,450,750
Tomato/Cherry Tomato/Roma Mix,5.8,6.3,1400,2400,20,26,0.2,300,450,750
Bell Pepper/Chili Pepper/Jalapeno Mix,6.0,6.3,1600,2400,22,27,0.2,300,450,750
Lettuce/Strawberry/Spinach Mix,5.8,6.2,1000,1400,15,20,0.1,300,450,500
Lettuce/Pea/Spinach Mix,5.8,6.2,800,1200,15,20,0.1,300,450,500
Peas/Snow Peas/Sugar Snap Peas Mix,6.0,6.3,1000,1400,15,20,0.1,300,450,500
Radish/Turnip/Carrot Mix,5.8,6.2,1000,1400,18,22,0.2,300,450,750
Ginger/Turmeric Mix,5.5,6.5,1400,2000,22,28,0.2,300,450,800
Green Onion/Garlic Chives/Leek Mix,6.0,6.5,900,1300,18,22,0.1,300,450,500
Onion/Shallot/Chive Mix,6.0,6.5,900,1300,18,22,0.1,300,450,500
Nasturtium/Calendula/Borage Mix,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Pansy/Viola Mix,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Cantaloupe/Honeydew/Mini Watermelon Mix,6.0,6.3,1400,2000,22,26,0.2,300,450,750
Bush Beans/Pole Beans/Edamame Mix,6.0,6.3,1200,1600,18,24,0.2,300,450,750
Amaranth/Malabar Spinach/New Zealand Spinach Mix,6.0,6.5,1200,1600,20,24,0.1,300,450,600
Watercress/Purslane/Sorrel Mix,6.0,6.5,800,1200,18,22,0.1,300,450,500
Celtuce/Sweet Potato Vine Mix,6.0,6.5,1200,1600,20,24,0.1,300,450,600
Endive/Escarole/Frisee Mix,6.0,6.2,1000,1400,18,22,0.1,300,450,500
Radicchio/Mache Mix,6.0,6.5,800,1200,15,20,0.1,300,450,400
Beet Greens/Turnip Greens/Collard Greens Mix,6.0,6.5,1200,1600,18,22,0.1,300,450,750
Kohlrabi/Brussels Sprouts Mix,6.0,6.5,1400,2000,18,22,0.2,300,450,750
Cucumber/Zucchini Mix,5.8,6.0,1600,2400,20,25,0.2,300,450,750
Tomato/Basil Mix (Companion),5.8,6.2,1400,2200,20,26,0.2,300,450,750
Pepper/Eggplant Mix,6.0,6.3,1600,2400,22,26,0.2,300,450,750
Okra/Eggplant Mix,6.0,6.5,1400,2200,22,28,0.2,300,450,750
Stevia/Lemongrass Mix,6.0,6.5,1400,2000,20,24,0.2,300,450,750
Shiso/Vietnamese Coriander/Culantro Mix,6.0,6.5,1000,1400,20,24,0.1,300,450,500
Lavender/Rosemary/Sage Mix,6.0,6.8,1000,1600,18,24,0.2,300,450,750
Echinacea/Calendula Mix,6.0,6.5,1000,1400,18,22,0.2,300,450,750
Strawberry/Everbearing/Alpine Mix,5.8,6.2,1200,1800,18,22,0.1,300,450,500
Pea/Snow Pea/Radish Mix,5.8,6.2,800,1200,15,20,0.1,300,450,400
